------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:16:59 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.spare                                    | Total                     | 9523
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 396
flow.mgr.flows_notimeout                      | Total                     | 372
flow.mgr.flows_timeout                        | Total                     | 24
flow.mgr.flows_evicted                        | Total                     | 24
flow.mgr.flows_evicted_needs_work             | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 23
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 3115616
tcp.reassembly_memuse                         | Total                     | 878592
http.memuse                                   | Total                     | 7748
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:18:03 (uptime: 0d, 00h 01m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2418
capture.afpacket.polls                        | Total                     | 4419
capture.afpacket.poll_timeout                 | Total                     | 2685
capture.afpacket.poll_data                    | Total                     | 1734
decoder.pkts                                  | Total                     | 2417
decoder.bytes                                 | Total                     | 606912
decoder.ipv4                                  | Total                     | 1885
decoder.ipv6                                  | Total                     | 397
decoder.ethernet                              | Total                     | 2417
decoder.arp                                   | Total                     | 87
decoder.unknown_ethertype                     | Total                     | 50
decoder.tcp                                   | Total                     | 1608
tcp.syn                                       | Total                     | 296
tcp.synack                                    | Total                     | 80
tcp.rst                                       | Total                     | 7
decoder.udp                                   | Total                     | 587
decoder.icmpv6                                | Total                     | 83
decoder.avg_pkt_size                          | Total                     | 251
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 190
flow.total                                    | Total                     | 378
flow.active                                   | Total                     | 340
flow.tcp                                      | Total                     | 228
flow.udp                                      | Total                     | 146
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 13
flow.wrk.flows_evicted_pkt_inject             | Total                     | 18
flow.wrk.flows_evicted                        | Total                     | 3
flow.wrk.flows_injected                       | Total                     | 13
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 204
tcp.ssn_from_cache                            | Total                     | 5
tcp.ssn_from_pool                             | Total                     | 199
tcp.segment_from_pool                         | Total                     | 287
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 36
app_layer.flow.tls                            | Total                     | 4
